piece,big5,race,religion,count,demvote,issues,partisan_score,ticket_splitters,percent,support,repcomp,demcomp
Nothing in particular White Straight No degree Urban Unmarried men,Mosaic middle,White,Nothing in particular,631.6516494,49.82681762,0.594193142,51.23127938,4.916206842,0.30716392,Mixed,0.149799914,0.157364006
Catholic White Straight College degree Urban Married women,Mosaic middle,White,Catholic,615.1410189,48.37283942,0.616225184,48.97917269,8.657542348,0.299135017,Mixed,0.152621161,0.146513857
Agnostic White Straight College degree Suburban Married men,Secular,White,Agnostic,608.911642,69.60412871,0.724924569,69.79148498,6.774783529,0.296105753,Mixed,0.089449151,0.206656602
Catholic White Straight No degree Urban Unmarried men,Mosaic middle,White,Catholic,608.6540989,43.10538153,0.54556975,41.82645378,8.610640093,0.295980513,Mixed,0.17218236,0.123798152
Evangelical White Straight College degree Suburban Unmarried men,White evangelicals,White,Evangelical,586.6332671,17.94661425,0.369878193,19.75886774,9.339222625,0.285272071,Republican,0.22890554,0.056366531
Evangelical White Straight College degree Urban Unmarried women,White evangelicals,White,Evangelical,585.259972,27.05773484,0.494391895,28.2334,5.336573042,0.284604256,Republican,0.204250798,0.080353458
Catholic White Straight College degree Urban Unmarried women,Mosaic middle,White,Catholic,584.9672043,62.081693,0.674174786,59.16837174,9.729212596,0.284461886,Mixed,0.11615042,0.168311466
Jewish White Straight College degree Suburban Married men,Mosaic middle,White,Jewish,567.4594708,66.26703051,0.656718485,64.94905444,9.469219197,0.275948105,Mixed,0.09672242,0.179225685
Evangelical Black Straight No degree Urban Married men,Black people,Black,Evangelical,560.557568,80.56732284,0.619694739,81.24399382,5.319012218,0.2725918,Democratic,0.051127335,0.221464465
Protestant White Straight No degree Urban Married women,Mosaic middle,White,Protestant,554.073096,39.53160287,0.543997269,42.13175493,11.20843156,0.269438486,Mixed,0.155919324,0.113519163
Jewish White Straight College degree Suburban Married women,Mosaic middle,White,Jewish,538.5864176,72.26058342,0.730616373,71.40336675,6.948950953,0.261907518,Democratic,0.074896732,0.187010785
Other White Straight College degree Suburban Married men,Mosaic middle,White,Other,534.9051999,46.06467003,0.577868377,46.42496725,7.576531796,0.26011739,Mixed,0.139357977,0.120759413
Nothing in particular White Straight College degree Urban Unmarried women,Mosaic middle,White,Nothing in particular,533.954988,83.00305903,0.789107402,81.05872367,6.706890924,0.259655314,Democratic,0.049182031,0.210473284
Evangelical White Straight College degree Rural Unmarried men,White evangelicals,White,Evangelical,528.8481605,14.67705203,0.349053875,17.31885946,3.889489321,0.257171931,Republican,0.212632686,0.044539245
Protestant White Straight College degree Urban Married men,Mosaic middle,White,Protestant,526.9293513,49.71661014,0.587246988,51.86861253,10.26216556,0.256238839,Mixed,0.123331308,0.132907531
Protestant White Straight No degree Urban Married men,Mosaic middle,White,Protestant,521.1228758,28.65800949,0.468183333,33.28545704,6.906125809,0.253415226,Mixed,0.16906481,0.084350416
